vendor,accessory_name,price,code
Pronovias,cathedral veil,220,
Pronovias,crystal hair comb,65,
Pronovias,beaded belt sash,120,
Pronovias,pearl drop earrings,55,
Maggie Sottero,fingertip veil,150,
Maggie Sottero,detachable cap sleeves,90,
Maggie Sottero,crystal hair pins set,45,
Maggie Sottero,satin bridal belt,110,
Watters,cathedral veil,180,
Watters,pearl drop earrings,65,
Watters,satin belt sash,90,
Watters,hair comb,55,
Justin Alexander,chapel veil,150,
Justin Alexander,detachable mikado overskirt,280,
Justin Alexander,pearl drop earrings,55,
Justin Alexander,satin bridal sash,90,
Casablanca Bridal,cathedral veil,200,
Casablanca Bridal,3D floral hairpiece,75,
Casablanca Bridal,crystal bridal bracelet,50,
Casablanca Bridal,beaded bridal belt,130,
Jenny Yoo,matching satin scarf wrap,120,
Jenny Yoo,chapel veil,150,
Jenny Yoo,minimalist stud earrings,45,
Jenny Yoo,thin satin belt,70,
Essense of Australia,chapel veil,175,
Essense of Australia,minimalist hair vine,60,
Essense of Australia,pearl bracelet,50,
Essense of Australia,grosgrain sash,40,
Rebecca Ingram,fingertip lace veil,140,
Rebecca Ingram,pearl hair pins set,40,
Rebecca Ingram,beaded belt,95,
Rebecca Ingram,teardrop earrings,50,
Mori Lee,fingertip veil,110,
Mori Lee,floral lace applique hairpin,40,
Mori Lee,pearl bridal earrings,48,
Mori Lee,satin ribbon sash,65,
Allure Bridals,cathedral veil,180,
Allure Bridals,beaded bridal belt,120,
Allure Bridals,crystal hair comb,60,
Allure Bridals,teardrop earrings,45,
Stella York,cathedral lace veil,200,
Stella York,floral hair comb,55,
Stella York,crystal drop earrings,50,
Stella York,beaded bridal belt,130,
Madi Lane,cathedral veil,200,
Madi Lane,detachable lace sleeves,175,
Madi Lane,crystal hair vine,85,
Madi Lane,drop earrings,60,
