vendor,product_name,listed_price,currency,seller_style,lead_time_days,matched_attributes,source_url
Pronovias,Dion,2400,USD,Tough but fair,30,color:ivory;size:US 8;silhouette:mermaid;fabric:crepe;neckline:sweetheart;designer:Pronovias,https://www.pronovias.com/wedding-dress-mermaid-sweetheart-neckline-straps-crepe-dion
Maggie Sottero,Willow,2100,USD,Tough but fair,28,color:ivory;size:US 8;silhouette:sheath;fabric:satin;neckline:V-neck;designer:Maggie Sottero,https://www.weddingshoppeinc.com/products/maggie-sottero-willow-wedding-dress
Watters,Garance 64307B,2250,USD,Tough but fair,35,color:ivory;size:US 8;silhouette:sheath;fabric:satin;neckline:off-shoulder;designer:Watters,https://www.watters.com/products/garance/
Justin Alexander,Style 88349,2300,USD,Tough but fair,30,color:ivory;size:US 8;silhouette:fit-and-flare;fabric:mikado;neckline:square;designer:Justin Alexander,https://www.vaydajanebridal.com/wedding-dresses/justin-alexander/style-88349
Casablanca Bridal,2406 Evelina,2200,USD,Won't quote by phone,45,color:ivory;size:US 8;silhouette:ball-gown;fabric:organza;neckline:sweetheart;designer:Casablanca Bridal,https://www.glassslipperformals.com/products/casablanca-bridal-2406-evelina-off-the-shoulder-wedding-dress-ballgown-bridal-gown
Jenny Yoo,Jennifer 125100B,1950,USD,Won't quote by phone,40,color:ivory;size:US 8;silhouette:fit-and-flare;fabric:satin;neckline:halter;designer:Jenny Yoo,https://www.jennyyoo.com/products/jennifer
Essense of Australia,D4225,2050,USD,Won't quote by phone,42,color:ivory;size:US 8;silhouette:A-line;fabric:satin;neckline:square;designer:Essense of Australia,https://www.essensedesigns.com/essense-of-australia/wedding-dresses/d4225/
Rebecca Ingram,Lauren 7RZ880,1900,USD,Won't quote by phone,38,color:ivory;size:US 8;silhouette:fit-and-flare;fabric:lace;neckline:V-neck;designer:Rebecca Ingram,https://thelastminutebride.com/products/rebecca-ingram-lauren-7rz880
Mori Lee,Meredith,1980,USD,Upseller,21,color:ivory;size:US 8;silhouette:A-line;fabric:tulle;neckline:square;designer:Mori Lee,https://silhouettebridals.com/products/meredith-wedding-dress
Allure Bridals,C747,1899,USD,Upseller,24,color:ivory;size:US 8;silhouette:sheath;fabric:lace;neckline:sweetheart;designer:Allure Bridals,https://www.terrycosta.com/products/allure-bridals-couture-lace-wedding-dress-c747
Stella York,7560,1950,USD,Upseller,20,color:ivory;size:US 8;silhouette:A-line;fabric:lace;neckline:sweetheart;designer:Stella York,https://www.essensedesigns.com/stella-york/wedding-dresses/7560/
Madi Lane,Landon ML25100,2050,USD,Upseller,28,color:ivory;size:US 8;silhouette:A-line;fabric:tulle;neckline:V-neck;designer:Madi Lane,https://madilane.com/product/landon/
